Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.06.2014;109,82;109,83;108,62;108,81;0
  03.06.2014;108,92;108,98;108,33;108,86;0
  04.06.2014;108,24;108,75;107,57;107,58;0
  05.06.2014;107,60;108,25;107,12;108,22;0
  06.06.2014;108,22;108,59;107,72;108,02;0
  09.06.2014;107,94;109,29;107,92;109,09;0
  10.06.2014;109,28;109,49;108,43;108,87;0
  11.06.2014;109,03;109,57;109,00;109,49;0
  12.06.2014;109,83;112,72;109,78;112,67;0
  13.06.2014;113,18;114,06;112,00;112,36;0
  16.06.2014;113,13;113,20;112,34;112,92;0
  17.06.2014;112,64;113,78;112,16;113,39;0
  18.06.2014;113,28;114,50;113,18;114,24;0
  19.06.2014;114,62;115,69;114,16;114,94;0
  20.06.2014;115,01;115,08;114,43;114,73;0
  23.06.2014;115,15;115,63;113,88;114,02;0
  24.06.2014;113,94;114,81;113,55;114,32;0
  25.06.2014;113,92;114,25;113,24;114,13;0
  26.06.2014;113,92;114,17;113,01;113,11;0
  27.06.2014;113,06;113,70;112,90;113,19;0
  30.06.2014;112,94;113,03;112,16;112,35;0
  01.07.2014;112,54;112,82;111,85;112,02;0
  02.07.2014;112,39;112,39;110,91;111,00;0
  03.07.2014;110,98;111,16;110,53;111,06;0
  04.07.2014;111,10;111,27;110,56;110,59;0
  07.07.2014;110,57;110,84;109,86;109,93;0
  08.07.2014;109,93;110,11;108,85;109,07;0
  09.07.2014;109,09;109,13;108,31;108,32;0
  10.07.2014;108,35;109,19;107,97;108,92;0
  11.07.2014;108,89;108,97;106,96;107,17;0
  14.07.2014;107,45;108,10;106,94;107,64;0
  15.07.2014;107,44;107,58;105,59;106,77;0
  16.07.2014;107,00;107,95;106,94;107,12;0
  17.07.2014;107,18;108,59;106,82;108,57;0
  18.07.2014;108,31;108,49;106,94;107,03;0
  21.07.2014;107,35;107,85;106,79;107,73;0
  22.07.2014;107,86;108,39;106,91;106,92;0
  23.07.2014;107,22;108,24;107,03;108,22;0
  24.07.2014;107,99;108,07;106,83;107,21;0
  25.07.2014;107,13;108,45;106,73;108,13;0
  28.07.2014;107,94;108,11;107,01;107,51;0
  29.07.2014;107,48;108,04;107,13;107,49;0
  30.07.2014;107,54;107,85;105,84;106,03;0
  31.07.2014;106,28;106,58;105,43;105,51;0
  01.08.2014;105,97;106,11;104,39;104,65;0
  04.08.2014;104,99;105,70;104,52;105,57;0
  05.08.2014;106,02;106,20;104,73;105,49;0
  06.08.2014;105,44;105,99;105,22;105,32;0
  07.08.2014;105,40;106,53;104,88;106,38;0
  08.08.2014;106,96;107,27;105,34;105,34;0
  11.08.2014;105,67;106,12;105,20;105,22;0
  12.08.2014;105,04;105,07;103,51;103,73;0
  13.08.2014;103,37;105,12;103,26;104,76;0
  14.08.2014;104,59;105,08;101,93;102,17;0
  15.08.2014;102,58;103,65;102,07;103,37;0
  18.08.2014;102,63;102,81;102,10;102,11;0
  19.08.2014;101,86;102,06;101,08;101,54;0
  20.08.2014;101,51;102,36;101,44;102,28;0
  21.08.2014;101,99;102,78;101,21;102,70;0
  22.08.2014;102,61;102,82;102,00;102,11;0
  25.08.2014;102,13;102,79;101,97;102,69;0
  26.08.2014;102,77;103,37;102,35;102,61;0
  27.08.2014;102,74;103,06;102,05;102,55;0
  28.08.2014;102,56;103,19;102,26;102,50;0
  29.08.2014;102,75;103,29;102,62;103,06;0
  01.09.2014;103,24;103,24;102,56;102,62;0
  02.09.2014;102,76;102,79;101,18;101,19;0
  03.09.2014;100,79;103,12;100,44;102,34;0
  04.09.2014;102,70;103,44;102,18;102,31;0
  05.09.2014;102,26;102,84;100,95;101,51;0
  08.09.2014;101,47;101,54;100,04;100,89;0
  09.09.2014;100,64;101,24;99,81;100,02;0
  10.09.2014;100,08;100,16;98,43;98,70;0
  11.09.2014;98,77;99,24;97,49;98,92;0
  12.09.2014;98,70;99,56;97,69;97,80;0
  15.09.2014;97,38;98,39;97,05;97,99;0
  16.09.2014;97,91;99,40;97,45;98,91;0
  17.09.2014;98,94;99,61;98,52;98,71;0
  18.09.2014;98,37;99,14;97,43;97,62;0
  19.09.2014;97,65;98,47;97,19;98,36;0
  22.09.2014;97,91;98,06;96,41;96,88;0
  23.09.2014;97,24;97,58;96,56;96,91;0
  24.09.2014;96,78;97,32;95,62;97,05;0
  25.09.2014;96,83;97,55;96,25;97,10;0
  26.09.2014;96,97;97,49;96,46;96,93;0
  29.09.2014;96,63;97,33;96,28;97,08;0
  30.09.2014;97,25;97,79;94,31;94,84;0
  01.10.2014;95,03;96,20;93,79;94,11;0
  02.10.2014;94,07;94,15;91,59;93,82;0
  03.10.2014;92,26;92,74;91,50;92,09;0
  06.10.2014;91,90;93,21;91,25;92,95;0
  07.10.2014;93,21;93,49;91,95;92,23;0
  08.10.2014;91,44;92,19;91,06;92,05;0
  09.10.2014;91,97;92,19;89,89;89,89;0
  10.10.2014;88,95;90,82;88,95;90,23;0
  13.10.2014;89,42;89,57;88,42;88,67;0
  14.10.2014;88,83;89,27;84,86;86,01;0
  15.10.2014;85,69;85,98;83,37;83,82;0
  16.10.2014;83,14;87,66;82,94;86,15;0
  17.10.2014;86,31;87,32;85,49;86,07;0
  20.10.2014;86,31;86,58;84,41;85,27;0
  21.10.2014;85,39;86,46;85,32;86,35;0
  22.10.2014;86,31;87,03;84,48;84,62;0
  23.10.2014;84,86;87,17;84,14;86,76;0
  24.10.2014;86,55;86,73;85,39;86,34;0
  27.10.2014;86,01;86,24;84,55;85,37;0
  28.10.2014;85,63;86,33;85,10;86,20;0
  29.10.2014;86,49;87,93;86,21;86,80;0
  30.10.2014;86,97;87,04;85,71;86,08;0
  31.10.2014;86,19;86,24;84,61;85,90;0
  03.11.2014;85,53;86,37;84,01;84,17;0
  04.11.2014;84,62;84,62;82,67;83,38;0
  05.11.2014;82,70;84,97;82,21;83,76;0
  06.11.2014;83,60;83,79;82,63;83,44;0
  07.11.2014;82,91;84,39;82,80;83,56;0
  10.11.2014;84,22;85,49;82,61;82,61;0
  11.11.2014;82,70;82,99;81,28;81,99;0
  12.11.2014;81,66;82,39;80,50;80,52;0
  13.11.2014;80,91;80,95;77,31;77,64;0
  14.11.2014;77,28;79,74;76,78;79,57;0
  17.11.2014;78,61;79,42;77,95;79,07;0
  18.11.2014;78,89;79,93;78,21;78,39;0
  19.11.2014;78,50;79,44;78,05;78,15;0
  20.11.2014;78,19;79,94;77,59;79,80;0
  21.11.2014;79,61;81,61;79,07;80,49;0
  24.11.2014;80,57;80,69;79,43;79,45;0
  25.11.2014;79,47;80,44;78,05;78,16;0
  26.11.2014;78,40;78,85;77,31;77,56;0
  27.11.2014;76,53;76,73;71,28;72,85;0
  28.11.2014;71,29;73,40;69,80;70,01;0
  01.12.2014;68,51;73,01;67,55;72,93;0
  02.12.2014;72,06;73,01;70,41;70,96;0
  03.12.2014;70,85;71,44;69,50;69,95;0
  04.12.2014;70,28;70,44;68,88;69,52;0
  05.12.2014;69,73;70,22;68,54;69,08;0
  08.12.2014;68,73;68,87;66,41;66,53;0
  09.12.2014;65,98;67,39;65,74;66,76;0
  10.12.2014;66,51;66,69;63,85;64,71;0
  11.12.2014;64,74;65,36;63,39;63,45;0
  12.12.2014;63,62;63,93;61,68;61,78;0
  15.12.2014;62,74;63,46;60,40;60,62;0
  16.12.2014;60,81;61,24;58,52;59,84;0
  17.12.2014;59,85;63,39;58,73;60,61;0
  18.12.2014;61,27;63,64;59,19;59,81;0
  19.12.2014;59,40;62,65;59,07;62,18;0
  22.12.2014;62,45;62,94;59,87;60,09;0
  23.12.2014;60,07;62,13;59,86;61,30;0
  24.12.2014;61,26;61,61;59,37;60,17;0
  25.12.2014;60,17;60,17;60,17;60,17;0
  26.12.2014;60,10;60,95;59,28;59,69;0
  29.12.2014;59,87;60,42;58,79;58,79;0
  30.12.2014;57,31;58,38;56,75;57,57;0
  31.12.2014;57,13;57,63;55,82;57,56;0
  01.01.2015;57,56;57,56;57,56;57,56;0
  02.01.2015;57,53;57,58;55,48;56,45;0
  05.01.2015;55,34;55,83;52,71;53,07;0
  06.01.2015;53,97;54,00;51,56;52,06;0
  07.01.2015;51,34;52,79;50,67;52,11;0
  08.01.2015;52,32;52,71;50,93;52,16;0
  09.01.2015;52,12;52,25;50,13;51,23;0
  12.01.2015;50,33;50,45;48,45;48,46;0
  13.01.2015;47,27;48,49;46,40;47,89;0
  14.01.2015;46,92;50,36;46,79;49,84;0
  15.01.2015;49,16;52,36;48,09;48,18;0
  16.01.2015;48,49;50,30;48,27;49,98;0
  19.01.2015;50,32;50,33;48,69;48,96;0
  20.01.2015;48,63;49,47;47,80;48,16;0
  21.01.2015;48,29;49,58;48,22;48,76;0
  22.01.2015;49,01;50,44;48,05;48,88;0
  23.01.2015;49,38;49,77;48,60;48,63;0
  26.01.2015;48,12;49,27;47,57;48,14;0
  27.01.2015;47,95;49,96;47,70;49,30;0
  28.01.2015;48,98;49,69;48,33;48,56;0
  29.01.2015;48,62;49,24;48,37;49,10;0
  30.01.2015;48,82;53,04;48,81;52,38;0
  02.02.2015;51,84;55,37;51,46;55,01;0
  03.02.2015;56,27;60,04;56,19;58,08;0
  04.02.2015;58,88;58,92;54,54;55,63;0
  05.02.2015;54,41;58,74;54,26;57,62;0
  06.02.2015;58,83;59,89;58,05;59,04;0
  09.02.2015;58,85;60,34;58,31;58,85;0
  10.02.2015;58,57;59,57;57,20;58,06;0
  11.02.2015;57,59;58,09;55,18;56,42;0
  12.02.2015;56,54;59,91;56,53;59,33;0
  13.02.2015;60,28;61,74;59,69;61,45;0
  16.02.2015;61,53;62,52;60,73;61,64;0
  17.02.2015;62,11;62,99;60,28;62,26;0
  18.02.2015;62,18;62,34;59,25;59,35;0
  19.02.2015;59,49;60,97;57,81;60,21;0
  20.02.2015;60,52;61,13;59,83;60,06;0
  23.02.2015;60,18;60,64;58,37;58,99;0
  24.02.2015;58,58;60,26;58,10;58,58;0
  25.02.2015;58,92;62,10;58,41;61,96;0
  26.02.2015;61,65;62,61;59,66;60,64;0
  27.02.2015;61,57;62,82;60,81;62,21;0
  02.03.2015;62,20;62,30;59,35;59,96;0
  03.03.2015;60,37;61,79;59,84;60,88;0
  04.03.2015;60,57;60,92;59,51;60,44;0
  05.03.2015;61,25;62,09;60,61;61,16;0
  06.03.2015;61,30;61,71;59,69;60,24;0
  09.03.2015;59,93;60,49;58,95;59,15;0
  10.03.2015;58,84;58,86;56,61;56,93;0
  11.03.2015;57,16;58,24;56,37;58,22;0
  12.03.2015;58,39;59,13;56,75;57,16;0
  13.03.2015;57,30;57,39;54,75;54,85;0
  16.03.2015;54,67;55,01;52,66;54,12;0
  17.03.2015;54,02;54,04;52,59;53,30;0
  18.03.2015;53,03;56,82;52,69;56,28;0
  19.03.2015;55,48;55,58;53,92;54,44;0
  20.03.2015;54,34;55,63;53,56;55,16;0
  23.03.2015;54,65;56,19;54,12;55,82;0
  24.03.2015;55,55;56,78;54,85;55,36;0
  25.03.2015;55,00;57,15;54,74;56,47;0
  26.03.2015;58,17;59,75;57,53;58,87;0
  27.03.2015;58,37;58,67;55,95;56,14;0
  30.03.2015;56,08;56,64;55,20;56,46;0
  31.03.2015;55,82;56,07;54,73;55,08;0
  01.04.2015;54,88;57,68;54,70;56,67;0
  02.04.2015;56,77;57,26;54,02;55,22;0
  03.04.2015;56,21;56,21;56,21;56,21;0
  06.04.2015;56,77;59,41;56,76;59,01;0
  07.04.2015;58,80;60,31;58,18;59,57;0
  08.04.2015;59,40;59,74;56,61;57,21;0
