Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.06.2014;103,27;103,34;102,11;102,27;0
  03.06.2014;102,59;102,79;102,24;102,49;0
  04.06.2014;102,85;103,66;102,54;102,65;0
  05.06.2014;102,41;102,68;101,99;102,34;0
  06.06.2014;102,55;103,07;102,32;102,73;0
  09.06.2014;102,84;104,48;102,82;104,40;0
  10.06.2014;104,72;104,72;104,72;104,72;0
  11.06.2014;103,61;103,98;103,42;103,49;0
  12.06.2014;103,89;105,71;103,86;105,24;0
  13.06.2014;106,41;106,84;105,66;106,17;0
  16.06.2014;106,65;106,70;106,04;106,13;0
  17.06.2014;105,98;106,67;105,47;105,79;0
  18.06.2014;106,07;106,46;105,37;105,64;0
  19.06.2014;106,24;106,39;105,12;106,20;0
  20.06.2014;106,13;106,93;105,82;106,72;0
  23.06.2014;107,29;107,37;105,93;106,14;0
  24.06.2014;105,82;106,46;105,53;105,81;0
  25.06.2014;106,69;106,70;105,49;106,53;0
  26.06.2014;106,71;106,76;105,04;105,83;0
  27.06.2014;105,64;106,18;105,34;105,60;0
  03.07.2014;103,86;104,10;103,69;104,02;0
  04.07.2014;103,96;104,13;103,65;103,80;0
  07.07.2014;103,91;104,05;103,21;103,38;0
  08.07.2014;103,49;104,17;103,02;103,47;0
  09.07.2014;103,49;103,57;101,90;101,95;0
  10.07.2014;101,81;103,00;101,56;102,87;0
  11.07.2014;102,18;102,23;99,92;99,93;0
  14.07.2014;99,98;100,78;99,75;100,59;0
  15.07.2014;100,43;100,53;98,69;99,74;0
  16.07.2014;100,01;100,52;99,96;100,21;0
  17.07.2014;100,81;102,91;100,62;102,75;0
  18.07.2014;102,68;102,84;101,66;101,66;0
  21.07.2014;101,83;102,96;101,49;102,83;0
  22.07.2014;103,13;103,28;101,92;101,95;0
  23.07.2014;102,12;103,32;101,93;103,25;0
  24.07.2014;102,87;103,17;101,89;102,02;0
  25.07.2014;102,00;102,52;101,01;101,91;0
  28.07.2014;101,72;102,09;100,91;101,62;0
  29.07.2014;101,42;101,82;100,39;100,97;0
  30.07.2014;101,14;101,64;101,02;101,07;0
  31.07.2014;99,64;99,84;97,61;97,64;0
  01.08.2014;97,99;98,09;97,10;97,59;0
  04.08.2014;98,03;98,67;97,44;98,40;0
  05.08.2014;98,33;98,66;97,04;97,59;0
  06.08.2014;97,47;98,12;96,76;96,85;0
  07.08.2014;96,99;97,72;96,56;97,63;0
  08.08.2014;98,01;98,25;97,18;97,41;0
  11.08.2014;97,01;97,65;96,69;96,99;0
  12.08.2014;96,89;96,91;95,95;96,35;0
  13.08.2014;96,29;96,88;95,85;96,50;0
  14.08.2014;96,37;96,67;93,86;94,03;0
  15.08.2014;93,92;95,38;93,91;95,24;0
  18.08.2014;94,77;94,79;93,44;93,93;0
  19.08.2014;94,13;94,37;92,65;92,83;0
  20.08.2014;92,85;93,57;92,74;93,48;0
  21.08.2014;93,17;94,45;92,72;93,91;0
  22.08.2014;93,96;94,05;92,94;93,45;0
  25.08.2014;93,54;93,95;93,06;93,38;0
  26.08.2014;93,59;94,34;93,36;93,83;0
  27.08.2014;93,91;94,24;93,37;93,69;0
  28.08.2014;93,56;94,71;93,46;94,60;0
  29.08.2014;94,79;95,99;94,72;95,86;0
  01.09.2014;95,82;95,86;95,52;95,79;0
  02.09.2014;95,84;95,88;92,70;93,28;0
  03.09.2014;93,30;95,82;93,21;95,09;0
  04.09.2014;94,88;95,38;94,17;94,57;0
  05.09.2014;94,51;94,99;92,88;93,43;0
  08.09.2014;93,51;93,56;91,81;93,16;0
  09.09.2014;92,90;93,94;92,53;92,75;0
  10.09.2014;92,78;93,02;91,26;91,71;0
  11.09.2014;90,76;92,46;89,57;92,14;0
  12.09.2014;91,91;92,66;91,12;91,29;0
  15.09.2014;90,46;92,07;90,26;91,91;0
  16.09.2014;91,83;94,10;91,53;93,64;0
  17.09.2014;93,67;94,01;92,73;92,90;0
  18.09.2014;92,68;93,59;91,84;91,96;0
  19.09.2014;91,85;92,24;91,16;91,81;0
  22.09.2014;91,30;91,92;90,42;90,68;0
  23.09.2014;91,27;92,06;90,79;91,74;0
  24.09.2014;91,75;93,29;91,14;92,87;0
  25.09.2014;92,73;93,53;92,06;92,47;0
  26.09.2014;92,51;93,86;92,24;93,41;0
  29.09.2014;92,95;94,63;92,75;94,32;0
  30.09.2014;94,58;94,90;90,89;91,35;0
  01.10.2014;91,54;92,96;90,97;90,98;0
  02.10.2014;90,64;91,55;88,20;91,39;0
  03.10.2014;91,55;91,71;89,38;89,72;0
  06.10.2014;89,62;90,74;88,80;90,47;0
  07.10.2014;90,29;90,56;88,39;88,44;0
  08.10.2014;87,86;88,38;86,93;87,71;0
  09.10.2014;87,62;87,94;85,52;85,52;0
  10.10.2014;83,24;85,54;83,21;84,84;0
  13.10.2014;83,95;85,11;83,40;84,10;0
  14.10.2014;84,31;84,78;82,82;82,86;0
  15.10.2014;81,28;81,68;79,42;80,67;0
  16.10.2014;79,88;83,53;79,27;82,30;0
  17.10.2014;82,27;83,69;81,76;82,27;0
  20.10.2014;82,50;82,69;80,81;81,88;0
  21.10.2014;81,92;83,24;81,59;82,59;0
  22.10.2014;82,54;83,13;80,24;80,36;0
  23.10.2014;80,70;82,34;80,14;81,91;0
  24.10.2014;81,66;81,83;80,37;81,32;0
  27.10.2014;81,04;81,26;79,47;80,78;0
  28.10.2014;80,85;81,65;80,54;81,47;0
  29.10.2014;81,85;82,88;81,69;81,99;0
  30.10.2014;81,83;81,90;80,74;80,87;0
  31.10.2014;81,23;81,25;79,56;80,65;0
  03.11.2014;80,11;80,98;78,10;78,23;0
  04.11.2014;78,26;78,26;75,92;77,47;0
  05.11.2014;76,79;79,34;76,49;78,85;0
  06.11.2014;78,81;78,91;77,14;77,86;0
  07.11.2014;77,67;79,40;77,55;78,45;0
  10.11.2014;78,96;79,85;77,15;77,19;0
  11.11.2014;77,10;77,93;76,43;77,45;0
  12.11.2014;77,22;77,92;76,61;76,89;0
